location,reef,date,reef.area,halo.area,reef.rad,halo.rad,halo.wid
fiji,40,20150303,172.134521,1408.196289,7.402169938,21.17174533,13.7695754
fiji,42,20150303,638.678955,1728.984375,14.25825464,23.45959973,9.201345089
fiji,44,20150303,189.541992,1086.796875,7.767437795,18.59941369,10.83197589
fiji,49,20150303,550.362793,4055.720459,13.23578173,35.93015332,22.69437159
fiji,50,20150303,642.912842,3116.304443,14.3054365,31.49524587,17.18980937
fiji,51,20150303,562.828369,2498.685303,13.38483597,28.20206082,14.81722484
fiji,53,20150303,32.901855,1656.445068,3.236199271,22.96220462,19.72600535
fiji,54,20150303,340.51709,2285.435547,10.41104971,26.97177652,16.56072681
fiji,55,20150303,345.629639,2249.429688,10.48891467,26.75846984,16.26955516
fiji,59,20150303,733.056152,3142.185791,15.27543847,31.62576167,16.35032321
fiji,60,20150303,540.617188,4117.289551,13.11807134,36.20185034,23.08377901
fiji,62,20150303,136.918701,1686.345459,6.601710091,23.16852242,16.56681233
fiji,64,20150303,1278.578369,3689.492676,20.1738478,34.26954907,14.09570127
fiji,65,20150303,363.018311,2253.695068,10.74952637,26.78382759,16.03430122
fiji,67,20150303,258.518555,1853.95166,9.07132911,24.29261497,15.22128586
fiji,2,20150630,284.92334,666.590576,9.523335336,14.56648106,5.043145721
fiji,8,20150630,591.023682,1637.870361,13.71600091,22.83309721,9.1170963
fiji,10,20150630,455.862549,5232.726563,12.04597676,40.81211336,28.7661366
fiji,12,20150630,1256.026855,3156.649414,19.99514354,31.69846551,11.70332197
fiji,14,20150630,911.587891,5058.342285,17.0343018,40.12630505,23.09200325
fiji,16,20150630,582.299561,1251.385986,13.61439338,19.95816952,6.343776149
fiji,30,20150630,91.333008,4328.532715,5.391864184,37.11892719,31.72706301
fiji,31,20150630,170.081299,3227.454346,7.357890929,32.05199878,24.69410785
fiji,35,20150630,150.446289,4068.327637,6.920154704,35.9859543,29.0657996
fiji,40,20150630,172.498779,5219.915039,7.409997754,40.76212166,33.3521239
fiji,42,20150630,660.696777,4456.384521,14.5019418,37.66312852,23.16118672
fiji,44,20150630,180.142334,364.567871,7.572389704,10.77244436,3.200054657
fiji,49,20150630,574.599121,4785.72998,13.52407412,39.03005464,25.50598052
